Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Data Engineer,I am a student,1-2,,"We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,,0,,
,,0,,
Data Analyst,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
,,0,,
Student,I am a student,0-1,,I do not know
,,0,,
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,
Data Analyst,Accounting/Finance,5-10,"80-90,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,"0-10,000",I do not know
Data Analyst,Hospitality/Entertainment/Sports,2-3,"0-10,000",No (we do not use ML methods)
,,0,,
Software Engineer,Computers/Technology,2-3,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Marketing/CRM,2-3,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
DBA/Database Engineer,Computers/Technology,3-4,"20-30,000",I do not know
Student,I am a student,2-3,"0-10,000",
Student,I am a student,0,,
Data Scientist,Computers/Technology,3-4,"50-60,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Retail/Sales,5-10,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Other,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Manager,Computers/Technology,5-10,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Salesperson,Other,0-1,"0-10,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,3-4,"30-40,000",No (we do not use ML methods)
Student,Computers/Technology,0-1,"0-10,000",
Student,I am a student,0-1,"0-10,000",
Business Analyst,Accounting/Finance,1-2,"30-40,000",No (we do not use ML methods)
Data Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Academics/Education,5-10,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Retail/Sales,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,,
,,0,,
Data Engineer,Marketing/CRM,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Analyst,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Broadcasting/Communications,1-2,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Computers/Technology,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Research Assistant,Academics/Education,5-10,"0-10,000",I do not know
Data Scientist,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
,,0,,
Other,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Not employed,,0,,
Student,I am a student,1-2,"80-90,000",We are exploring ML methods (and may one day put a model into production)
Research Scientist,Academics/Education,1-2,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
,,0,,
Data Scientist,Insurance/Risk Assessment,3-4,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Other,30 +,"125-150,000",
Software Engineer,Online Business/Internet-based Sales,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",I do not know
Business Analyst,Other,10-15,"40-50,000",No (we do not use ML methods)
,,0,,
Data Analyst,Computers/Technology,1-2,"0-10,000",I do not know
Data Scientist,Computers/Technology,1-2,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
,,0,,
Student,I am a student,0-1,"0-10,000",I do not know
Student,I am a student,3-4,"0-10,000",No (we do not use ML methods)
Data Journalist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Consultant,Online Business/Internet-based Sales,4-5,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
DBA/Database Engineer,Computers/Technology,10-15,"0-10,000",No (we do not use ML methods)
Research Scientist,Academics/Education,10-15,"150-200,000",We use ML methods for generating insights (but do not put working models into production)
Data Analyst,I am a student,2-3,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
,,0,,
Software Engineer,Computers/Technology,2-3,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
,,0,,
Data Scientist,Computers/Technology,0-1,"20-30,000",
Other,Online Service/Internet-based Services,0-1,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Computers/Technology,4-5,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Marketing/CRM,10-15,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Academics/Education,15-20,,We are exploring ML methods (and may one day put a model into production)
,,0,,
Data Scientist,Other,3-4,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000",No (we do not use ML methods)
Student,Computers/Technology,1-2,"0-10,000",
Software Engineer,,0,,
Student,I am a student,5-10,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Academics/Education,2-3,"0-10,000",I do not know
Business Analyst,Non-profit/Service,4-5,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Consultant,Energy/Mining,1-2,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,1-2,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,4-5,"0-10,000",I do not know
Data Analyst,Computers/Technology,2-3,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Developer Advocate,Computers/Technology,1-2,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,
Data Scientist,Computers/Technology,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
